,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
209,Guangxi,Mainland China,1/26/2020 11:00 AM,36.0,22.613636363636363,7.253521126760563,12.3
210,Jiangxi,Mainland China,1/26/2020 11:00 AM,36.0,22.613636363636363,7.253521126760563,12.3
211,Fujian,Mainland China,1/26/2020 11:00 AM,35.0,20.0,7.253521126760563,12.3
212,Jiangsu,Mainland China,1/26/2020 11:00 AM,33.0,22.613636363636363,1.0,12.3
213,Hainan,Mainland China,1/26/2020 11:00 AM,22.0,22.613636363636363,7.253521126760563,12.3
214,Shaanxi,Mainland China,1/26/2020 11:00 AM,22.0,22.613636363636363,7.253521126760563,12.3
215,Liaoning,Mainland China,1/26/2020 11:00 AM,21.0,22.613636363636363,7.253521126760563,12.3
216,Yunnan,Mainland China,1/26/2020 11:00 AM,16.0,36.0,7.253521126760563,12.3
217,Heilongjiang,Mainland China,1/26/2020 11:00 AM,15.0,22.613636363636363,7.253521126760563,1.0
218,Tianjin,Mainland China,1/26/2020 11:00 AM,14.0,22.613636363636363,7.253521126760563,12.3
219,Hebei,Mainland China,1/26/2020 11:00 AM,13.0,22.613636363636363,7.253521126760563,1.0
220,Shanxi,Mainland China,1/26/2020 11:00 AM,9.0,22.613636363636363,7.253521126760563,12.3
221,Hong Kong,Hong Kong,1/26/2020 11:00 AM,8.0,244.0,7.253521126760563,12.3
222,Inner Mongolia,Mainland China,1/26/2020 11:00 AM,7.0,22.613636363636363,7.253521126760563,12.3
223,Gansu,Mainland China,1/26/2020 11:00 AM,7.0,22.613636363636363,7.253521126760563,12.3
224,Guizhou,Mainland China,1/26/2020 11:00 AM,5.0,22.613636363636363,7.253521126760563,12.3
225,Macau,Macau,1/26/2020 11:00 AM,5.0,22.613636363636363,7.253521126760563,12.3
226,Ningxia,Mainland China,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
227,Jilin,Mainland China,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
228,Taiwan,Taiwan,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
229,Xinjiang,Mainland China,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
230,Qinghai,Mainland China,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
231,Washington,United States,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
232,Illinois,United States,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
233,California,United States,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
234,,Japan,1/26/2020 11:00 AM,4.0,22.613636363636363,1.0,12.3
235,,Thailand,1/26/2020 11:00 AM,8.0,22.613636363636363,2.0,12.3
236,,South Korea,1/26/2020 11:00 AM,3.0,22.613636363636363,7.253521126760563,12.3
237,,Singapore,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
238,,Vietnam,1/26/2020 11:00 AM,2.0,22.613636363636363,7.253521126760563,12.3
239,,France,1/26/2020 11:00 AM,3.0,22.613636363636363,7.253521126760563,12.3
240,,Australia,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
241,,Nepal,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
242,,Malaysia,1/26/2020 11:00 AM,4.0,22.613636363636363,7.253521126760563,12.3
243,Ontario,Canada,1/26/2020 11:00 AM,1.0,22.613636363636363,7.253521126760563,12.3
244,Hubei,Mainland China,1/25/2020 10:00 PM,1052.0,22.613636363636363,42.0,52.0
245,Zhejiang,Mainland China,1/25/2020 10:00 PM,104.0,22.613636363636363,1.0,12.3
246,Guangdong,Mainland China,1/25/2020 12:00 PM,98.0,22.613636363636363,2.0,12.3
247,Henan,Mainland China,1/25/2020 12:00 PM,83.0,3.0,7.253521126760563,1.0
248,Chongqing,Mainland China,1/25/2020 12:00 PM,75.0,22.613636363636363,7.253521126760563,12.3
249,Hunan,Mainland China,1/25/2020 12:00 PM,69.0,22.613636363636363,7.253521126760563,12.3
250,Anhui,Mainland China,1/25/2020 12:00 PM,60.0,4.0,7.253521126760563,12.3
251,Beijing,Mainland China,1/25/2020 12:00 PM,51.0,22.613636363636363,2.0,12.3
252,Sichuan,Mainland China,1/25/2020 12:00 PM,44.0,4.0,7.253521126760563,12.3
253,Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,72.0,1.0,1.0
254,Shandong,Mainland China,1/25/2020 12:00 PM,39.0,22.613636363636363,7.253521126760563,12.3
255,Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,22.613636363636363,7.253521126760563,12.3
256,Guangxi,Mainland China,1/25/2020 12:00 PM,33.0,22.613636363636363,7.253521126760563,12.3
257,Jiangsu,Mainland China,1/25/2020 12:00 PM,31.0,22.613636363636363,1.0,12.3
258,Hainan,Mainland China,1/25/2020 12:00 PM,19.0,22.613636363636363,7.253521126760563,12.3
259,Liaoning,Mainland China,1/25/2020 12:00 PM,19.0,22.613636363636363,7.253521126760563,12.3
260,Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,7.253521126760563,1.0
261,Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,22.613636363636363,7.253521126760563,12.3
262,Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,22.613636363636363,7.253521126760563,12.3
263,Tianjin,Mainland China,1/25/2020 12:00 PM,13.0,22.613636363636363,7.253521126760563,12.3
264,Hebei,Mainland China,1/25/2020 12:00 PM,13.0,22.613636363636363,7.253521126760563,1.0
265,Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,7.253521126760563,12.3
266,Shanxi,Mainland China,1/25/2020 12:00 PM,9.0,22.613636363636363,7.253521126760563,12.3
267,Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,22.613636363636363,7.253521126760563,12.3
268,Gansu,Mainland China,1/25/2020 12:00 PM,7.0,22.613636363636363,7.253521126760563,12.3
269,Guizhou,Mainland China,1/25/2020 12:00 PM,5.0,22.613636363636363,7.253521126760563,12.3
270,Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,7.253521126760563,12.3
271,Ningxia,Mainland China,1/25/2020 12:00 PM,4.0,1.0,7.253521126760563,12.3
272,Jilin,Mainland China,1/25/2020 12:00 PM,4.0,22.613636363636363,7.253521126760563,12.3
273,Xinjiang,Mainland China,1/25/2020 12:00 PM,4.0,22.613636363636363,7.253521126760563,12.3
274,Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,22.613636363636363,7.253521126760563,12.3
275,Macau,Macau,1/25/2020 12:00 PM,2.0,22.613636363636363,7.253521126760563,12.3
276,Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,22.613636363636363,7.253521126760563,12.3
277,Washington,United States,1/25/2020 12:00 PM,1.0,22.613636363636363,7.253521126760563,12.3
278,Illinois,United States,1/25/2020 12:00 PM,1.0,22.613636363636363,7.253521126760563,12.3
279,,Japan,1/25/2020 12:00 PM,2.0,22.613636363636363,7.253521126760563,12.3
280,,Thailand,1/25/2020 12:00 PM,7.0,22.613636363636363,7.253521126760563,12.3
281,,South Korea,1/25/2020 12:00 PM,3.0,22.613636363636363,7.253521126760563,12.3
282,,Singapore,1/25/2020 12:00 PM,3.0,22.613636363636363,7.253521126760563,12.3
283,,Vietnam,1/25/2020 12:00 PM,2.0,22.613636363636363,7.253521126760563,12.3
